Soil_Moisture,Ambient_Temperature,Soil_Temperature,Humidity,Light_Intensity,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Chlorophyll_Content,Electrochemical_Signal,Plant_Health_Status
27.52110877,22.24024536,21.90043536,55.2919039,556.1728051,5.581954516,10.00364972,45.80685203,39.07619903,35.70300571,0.941402146,High Stress
14.83556615,21.70676328,18.68089194,63.94918051,596.1367212,7.135704906,30.712562,25.3943926,17.94482607,27.99329577,0.164899361,High Stress
17.08636197,21.18094556,15.39293913,67.83795649,591.1246268,5.656852249,29.33700224,27.57389185,35.70653021,43.64630752,1.081728041,High Stress
15.33615608,22.59330194,22.7783939,58.19081101,241.4124764,5.584522687,16.96662065,26.18070481,26.25774575,37.83809483,1.186087971,High Stress
39.82221603,28.92900106,18.10093728,63.77203577,444.4938296,5.919706876,10.94496067,37.89890673,37.65448346,48.26581159,1.609805188,High Stress
29.20836482,24.36420869,22.55155083,46.39281145,496.2330398,6.157930728,10.06011525,15.61066678,21.78267157,45.05218107,0.034301568,High Stress
16.35140945,23.02289496,17.95034782,56.90621179,454.6392144,7.075570016,28.01088962,32.56459221,39.93465589,49.23293579,1.272920689,High Stress
33.30769696,20.19918572,16.29822055,56.32621696,455.6989746,6.105038904,15.87137891,10.45418188,24.8537266,33.92517763,1.67554481,Moderate Stress
12.72272609,25.46764547,16.69303635,47.54417466,635.0570337,6.487871877,45.63052964,47.45917901,12.45193331,47.75034983,1.391797621,High Stress
13.24464144,27.63668533,23.62016942,65.61576854,393.2477805,5.580117097,44.42299621,39.81111371,38.61301951,35.61351856,0.962508633,High Stress
24.99896013,25.9306236,22.67841216,56.82434202,482.2509998,5.664245676,47.15173742,29.66465528,43.8242091,36.56160003,1.522696311,Moderate Stress
31.60661098,23.99464808,16.14286275,58.53132773,763.5381969,6.278609362,38.99632102,36.36820487,44.16586767,49.12470593,1.877492875,Healthy
23.52604561,19.00049156,22.38428696,57.75413529,436.3746794,7.323472975,37.68127346,33.79822049,13.92725384,44.58031198,1.959886633,Moderate Stress
21.53529606,19.73966999,19.52594533,47.50846028,724.1481607,6.738494159,23.20989199,20.83762928,47.81699295,27.39656391,1.731128951,Moderate Stress
23.78048858,26.49079136,17.82397397,45.87979905,561.1187449,5.832179314,20.6044616,21.87283781,42.60746829,42.01517953,1.987300197,Moderate Stress
28.12275834,27.29581421,19.7517873,52.06643945,515.1991468,5.939420931,38.00608619,46.98617181,20.36898511,42.51299941,0.656406233,Moderate Stress
22.28116693,19.26392676,23.89279652,45.21420852,800.7266096,6.065295849,43.29970174,24.22871732,18.54316374,40.23556772,1.293190933,Moderate Stress
15.20503814,23.63405835,22.75771916,40.83784537,423.1442155,6.151761405,38.02204032,29.99313829,49.61968734,43.20556291,1.542696616,High Stress
39.2429306,29.39285652,19.18860894,61.67028339,203.4998926,6.001141621,19.61770094,24.06266418,24.71117237,36.92425882,0.221543895,Moderate Stress
35.32985582,22.37344683,15.55854894,40.67374638,395.188528,6.019840604,18.30197622,40.10100498,48.28607161,26.75070041,1.072450352,Moderate Stress
37.39698436,28.41618165,23.66326125,63.69918699,735.6818314,6.149846669,43.7009191,23.47129889,19.97797554,29.21447647,1.313238995,Healthy
37.7451699,20.53086817,24.56634697,47.25582511,472.7790052,6.242700171,33.30690852,19.48625691,13.11521116,44.55607687,0.746642685,Healthy
32.70184017,29.19280263,16.43910654,62.82887406,427.2720751,6.452995855,23.64884031,30.76573369,24.03496864,31.95257478,1.988519146,Healthy
39.44635404,24.28970893,19.75106149,50.56190134,319.4868231,6.961696148,41.53746912,31.3466831,25.91164863,49.56668973,0.593445255,Healthy
39.56736709,25.55026655,15.07453776,63.67890896,867.7026545,5.946760308,37.17596018,44.44907062,28.14194879,34.70314134,0.756583252,Healthy
29.54570107,24.80921095,23.91903418,42.01890239,923.2339881,6.602158333,30.02690448,39.64089255,17.25571217,46.12034492,1.55546127,Moderate Stress
15.49995908,26.28278385,24.91343666,40.25984234,677.0739746,6.195533414,41.4251533,44.00169977,47.26958663,32.21050191,0.220836811,High Stress
33.15648147,19.02963705,22.22552692,44.46872632,339.8834703,5.7889043,49.30164714,21.98600516,28.99541767,30.72807954,1.54817442,Healthy
30.79192054,25.18298598,17.59153183,63.92669146,524.9309827,5.983217688,13.60675318,10.92224741,26.29824838,24.92338139,0.696671298,High Stress
13.9091687,21.95147498,19.24578447,42.4098101,508.2548632,6.242033717,48.314877,35.84873975,16.62327439,32.25894963,1.979704908,High Stress
19.06898516,18.89191428,19.23407408,59.99003418,867.1298682,5.919435843,46.39394431,14.80422195,15.70758225,32.87729772,1.348596587,High Stress
39.83876414,21.65353181,17.26562977,69.6872626,607.1387549,6.77622619,35.38871724,25.13496243,49.06148714,20.03956875,0.090813357,Healthy
37.70253751,18.28127088,24.99592885,53.7859033,227.5729366,6.159844269,29.42413419,42.17685464,38.73133015,49.84033984,0.780232309,Healthy
18.13859513,22.06444669,15.79976628,51.53682011,302.876879,6.98295139,11.39136268,24.44849486,29.85192383,37.28947774,0.917520111,High Stress
31.28343148,22.24091207,17.14011202,50.49709371,297.6229175,6.889754289,45.38938799,21.92689524,31.02917684,22.14894165,0.872726908,Healthy
28.41588626,27.42301475,22.4736906,66.14889901,577.371603,6.754105521,39.24288859,11.23995349,18.76113774,41.73820717,0.083466105,Moderate Stress
15.72923671,29.58560023,17.30906341,66.98353089,222.8253017,7.307640824,15.04058479,39.76807705,31.27006441,38.61934351,0.905473484,High Stress
28.08880202,21.5326582,16.23660207,43.60973784,560.0587425,7.378693845,13.35930074,45.15352572,49.47810752,21.96533049,1.563996156,High Stress
29.55269085,24.78499674,20.44359866,50.62575539,735.8495565,5.788171347,14.83536867,31.76172331,34.95129017,47.97653874,0.896671805,High Stress
13.11338285,22.86232524,21.82806809,67.05026738,576.3646455,6.457467303,46.57091887,20.47674442,43.31714065,38.77977458,1.105516748,High Stress
19.30080764,18.08769869,18.61669586,44.80825006,547.1358616,5.945849245,33.87747121,21.34097936,32.21413961,36.12002893,1.903475182,High Stress
32.38367281,29.9908861,20.69802999,68.13763608,711.3437998,7.301299207,38.24624998,13.28724202,23.52999187,32.07930642,0.478127445,Healthy
18.25168678,20.1474183,16.2677636,56.04820926,441.9643934,7.008549142,25.14919259,21.41868795,27.72461616,26.46682444,1.57775289,High Stress
26.53859154,24.98914908,15.21253357,68.02007962,557.6035256,7.256552995,40.8592303,31.28135435,15.20304583,20.9848372,0.779218332,Moderate Stress
31.56279707,23.87187867,23.8435756,54.47405198,305.3381125,7.39981536,40.19293782,26.96035801,11.87137012,40.66913608,1.717480484,Healthy
29.13152395,29.97418749,15.12667509,53.38227753,599.1035872,6.636631744,16.18963649,48.5234476,44.60789226,28.48070664,0.297071658,Moderate Stress
25.34079179,28.8294703,19.0307888,61.67313078,333.8325496,6.796602834,35.0402185,18.33513409,13.8923678,27.3729876,0.790187959,Moderate Stress
39.09417602,28.10853379,17.67872522,47.97210145,327.490014,7.095556368,14.69130037,46.62276502,12.70165821,30.82484419,1.208361763,High Stress
